Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.05,-0.0208,3.06,3.0286020310292843,0.031397968970715784,1.026077417343653
Urea,g/L,0.05,-0.0206,3.06,3.0293372672713526,0.0306627327286475,1.002050089171487
Urea,g/L,0.05,-0.0205,3.06,3.029936338552348,0.030063661447651935,0.9824725963284946
Urea,g/L,0.05,-0.0204,3.06,3.030681062307563,0.029318937692436986,0.9581352187070911
Urea,g/L,0.05,-0.0203,3.07,3.0315650877550198,0.03843491224498008,1.2519515389244327
Urea,g/L,0.05,-0.0202,3.07,3.032582173266653,0.037417826733346704,1.2188217176985898
Urea,g/L,0.05,-0.0201,3.07,3.0337261863682814,0.03627381363171844,1.1815574472872457
Urea,g/L,0.05,-0.0199,3.07,3.036371011214273,0.03362898878572684,1.095406800838008
Urea,g/L,0.05,-0.0198,3.07,3.0378601037797264,0.03213989622027347,1.046902157012165
Urea,g/L,0.05,-0.0197,3.08,3.0394526855773796,0.040547314422620495,1.3164712474876783
Urea,g/L,0.05,-0.0196,3.08,3.0411431699025,0.03885683009750007,1.2615853927759764
Urea,g/L,0.05,-0.0195,3.08,3.042926079204266,0.03707392079573424,1.2036987271342285
Urea,g/L,0.05,-0.0194,3.08,3.0447960450857394,0.03520395491426065,1.1429855491643068
Urea,g/L,0.05,-0.0192,3.08,3.0487762187694933,0.03122378123050673,1.0137591308606082
Urea,g/L,0.05,-0.0191,3.08,3.0508762355473547,0.029123764452645418,0.945576767943033
Urea,g/L,0.05,-0.019,3.09,3.05304292685609,0.036957073143909724,1.1960217845925478
Urea,g/L,0.05,-0.0189,3.09,3.055271470068207,0.034728529931792984,1.123900645041844
Urea,g/L,0.05,-0.0188,3.09,3.057557151710119,0.032442848289880644,1.0499303653683056
Urea,g/L,0.05,-0.0186,3.1,3.062281622158433,0.037718377841567285,1.2167218658570091
Urea,g/L,0.05,-0.0185,3.1,3.0647115297871146,0.0352884702128855,1.1383377488027582
Urea,g/L,0.05,-0.0184,3.11,3.067180813490155,0.042819186509845064,1.3768227173583623
Urea,g/L,0.05,-0.0183,3.11,3.069685305563417,0.040314694436582865,1.296292425613597
Urea,g/L,0.05,-0.0182,3.11,3.0722209474566675,0.03777905254333236,1.2147605319399473
Urea,g/L,0.05,-0.018,3.11,3.0773699922716133,0.032630007728386534,1.0491963899802745
