Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Melaza,%,6.0,-0.6242,3.55,3.587063729776057,-0.03706372977605721,1.0440487260861184
Melaza,%,6.0,-0.6201,3.56,3.596060912547772,-0.036060912547771995,1.0129469816789887
Melaza,%,6.0,-0.616,3.58,3.604973947916374,-0.024973947916373973,0.6975963105132394
Melaza,%,6.0,-0.6118,3.59,3.614020567133597,-0.024020567133597126,0.6690965775375244
Melaza,%,6.0,-0.6077,3.61,3.622773323207616,-0.012773323207615928,0.35383166780099523
Melaza,%,6.0,-0.6035,3.62,3.6316626154290494,-0.011662615429049339,0.3221716969350646
Melaza,%,6.0,-0.5994,3.63,3.640268453668674,-0.010268453668674127,0.2828775115337225
Melaza,%,6.0,-0.5952,3.64,3.649014034454833,-0.009014034454832842,0.24763830919870441
Melaza,%,6.0,-0.591,3.65,3.6576920361946312,-0.007692036194631324,0.2107407176611322
Melaza,%,6.0,-0.5868,3.66,3.666305889925389,-0.006305889925388719,0.17229207446417266
Melaza,%,6.0,-0.5825,3.67,3.6750619414352146,-0.005061941435214656,0.1379275595426337
Melaza,%,6.0,-0.5783,3.68,3.6835563937767875,-0.003556393776787292,0.09664113523878512
Melaza,%,6.0,-0.574,3.68,3.6921972964445375,-0.012197296444537375,0.33144827294938517
Melaza,%,6.0,-0.5697,3.69,3.7007853175056358,-0.010785317505635827,0.2922850272530034
Melaza,%,6.0,-0.5654,3.7,3.709324037941996,-0.009324037941995655,0.252001025459342
Melaza,%,6.0,-0.5611,3.7,3.7178170182957064,-0.017817018295706255,0.48154103501908796
Melaza,%,6.0,-0.5567,3.71,3.7264638546194906,-0.016463854619490625,0.44376966629354786
Melaza,%,6.0,-0.5524,3.72,3.7348750968464692,-0.014875096846469038,0.39986819479755475
Melaza,%,6.0,-0.548,3.73,3.7434456434389993,-0.013445643438999344,0.36047301445038454
Melaza,%,6.0,-0.5436,3.74,3.7519831648591158,-0.011983164859115547,0.3204054775164584
Melaza,%,6.0,-0.5392,3.75,3.7604913651108287,-0.01049136511082871,0.2797697362887656
Melaza,%,6.0,-0.5348,3.76,3.768973925789524,-0.008973925789524273,0.23866823908309237
Melaza,%,6.0,-0.5303,3.77,3.7776265650844962,-0.007626565084496217,0.20229615608743282
Melaza,%,6.0,-0.5259,3.78,3.7860684269594405,-0.006068426959440654,0.16054039575239826
Melaza,%,6.0,-0.5214,3.79,3.794687027038405,-0.004687027038404956,0.12366825958852128
Melaza,%,6.0,-0.5169,3.8,3.8032941479773443,-0.003294147977344508,0.08668810466696074
Melaza,%,6.0,-0.5124,3.8,3.8118936069184812,-0.011893606918481403,0.3129896557495106
Melaza,%,6.0,-0.5078,3.81,3.82068019453601,-0.010680194536009768,0.2803200665619362
Melaza,%,6.0,-0.5033,3.82,3.8292757232035344,-0.009275723203534536,0.24281997915011877
Melaza,%,6.0,-0.4987,3.83,3.8380661424732336,-0.008066142473233562,0.21060424212098072
Melaza,%,6.0,-0.4941,3.84,3.846864425990278,-0.0068644259902779226,0.1787610934968209
Melaza,%,6.0,-0.4895,3.85,3.8556745186788346,-0.005674518678834506,0.147390095554143
Melaza,%,6.0,-0.4849,3.86,3.8645003386938805,-0.004500338693880668,0.11658908533369605
Melaza,%,6.0,-0.4802,3.87,3.873538316423418,-0.003538316423417953,0.09142936494620033
Melaza,%,6.0,-0.4755,3.88,3.8826008968872987,-0.002600896887298809,0.06703342493038168
Melaza,%,6.0,-0.4708,3.9,3.8916921727768488,0.008307827223151154,0.2130212108500296
Melaza,%,6.0,-0.4661,3.92,3.9008162076094637,0.019183792390536247,0.48938245894225124
Melaza,%,6.0,-0.4614,3.93,3.909977035728562,0.020022964271438237,0.5094901850238737
Melaza,%,6.0,-0.4567,3.94,3.9191786623036213,0.020821337696378617,0.5284603476238228
Melaza,%,6.0,-0.4519,3.95,3.928622310668973,0.021377689331027128,0.5412073248361298
Melaza,%,6.0,-0.4471,3.96,3.938116862755521,0.021883137244478768,0.552604475870676
Melaza,%,6.0,-0.4423,3.97,3.947666490639911,0.022333509360089376,0.5625569108334856
Melaza,%,6.0,-0.4375,3.98,3.95727533466156,0.022724665338440087,0.5709714909155801
Melaza,%,6.0,-0.4326,3.99,3.967149709571672,0.02285029042832809,0.5726889831661175
Melaza,%,6.0,-0.4278,4.01,3.97689072726209,0.033109272737909645,0.82566764932443
Melaza,%,6.0,-0.4229,4.03,3.986908493144507,0.04309150685549312,1.0692681601859335
Melaza,%,6.0,-0.418,4.04,3.9970050695043886,0.04299493049561143,1.064230952861669
Melaza,%,6.0,-0.413,4.05,4.007393331867522,0.04260666813247749,1.0520164970982095
Melaza,%,6.0,-0.4081,4.05,4.017662020596181,0.03233797940381855,0.7984686272547791
Melaza,%,6.0,-0.4031,4.07,4.028234616926869,0.04176538307313127,1.0261764882833235
Melaza,%,6.0,-0.3981,4.08,4.03890686684105,0.04109313315894969,1.0071846362487669
Melaza,%,6.0,-0.3931,4.09,4.049683120510688,0.040316879489312285,0.9857427747998113
Melaza,%,6.0,-0.3881,4.11,4.060567690741101,0.04943230925889974,1.2027325853746895
Melaza,%,6.0,-0.383,4.12,4.0717859738239435,0.048214026176056635,1.1702433537877823
Melaza,%,6.0,-0.3779,4.13,4.083125894571609,0.04687410542839121,1.134966233132959
Melaza,%,6.0,-0.3728,4.15,4.094591909616707,0.05540809038329364,1.335134708031172
Melaza,%,6.0,-0.3677,4.17,4.106188435145002,0.06381156485499773,1.5302533538368759
Melaza,%,6.0,-0.3626,4.18,4.117919846895429,0.06208015310457071,1.4851711269036056
Melaza,%,6.0,-0.3574,4.19,4.130024658323542,0.05997534167645835,1.4313924027794354
Melaza,%,6.0,-0.3522,4.2,4.1422787563694214,0.057721243630578734,1.374315324537589
Melaza,%,6.0,-0.347,4.22,4.1546866493683225,0.0653133506316772,1.5477097306084646
Melaza,%,6.0,-0.3418,4.24,4.167252801941865,0.0727471980581349,1.7157358032578987
Melaza,%,6.0,-0.3365,4.25,4.180228043510128,0.06977195648987156,1.6416930938793306
Melaza,%,6.0,-0.3312,4.26,4.1933769166856685,0.06662308331433131,1.563922143528904
Melaza,%,6.0,-0.3259,4.28,4.2067040084611245,0.07329599153887578,1.7125231667961631
Melaza,%,6.0,-0.3206,4.29,4.220213858654621,0.06978614134537864,1.6267165814773574
Melaza,%,6.0,-0.3152,4.3,4.234171224462553,0.06582877553744648,1.530901756684802
Melaza,%,6.0,-0.3098,4.32,4.248327675321912,0.07167232467808837,1.659081589770564
Melaza,%,6.0,-0.3044,4.33,4.262687861802146,0.06731213819785431,1.5545528452160349
Melaza,%,6.0,-0.299,4.34,4.277256383635791,0.06274361636420878,1.4457054461799257
Melaza,%,6.0,-0.2936,4.36,4.292037789718528,0.06796221028147276,1.5587662908594668
Melaza,%,6.0,-0.2881,4.37,4.307316411821297,0.0626835881787029,1.434407052144231
Melaza,%,6.0,-0.2826,4.39,4.322825240208358,0.06717475979164167,1.5301767606296508
Melaza,%,6.0,-0.2771,4.4,4.338568918567236,0.06143108143276432,1.3961609416537344
Melaza,%,6.0,-0.2715,4.41,4.354844882622336,0.0551551173776641,1.2506829337338798
Melaza,%,6.0,-0.266,4.42,4.371076450659654,0.04892354934034593,1.1068676321345232
Melaza,%,6.0,-0.2604,4.43,4.387858518742458,0.04214148125754136,0.9512749719535295
Melaza,%,6.0,-0.2547,4.45,4.405209685547267,0.04479031445273307,1.0065239202861362
Melaza,%,6.0,-0.2491,4.47,4.4225258167729615,0.047474183227038225,1.062062264586985
Melaza,%,6.0,-0.2434,4.48,4.440430074325148,0.03956992567485251,0.8832572695279577
Melaza,%,6.0,-0.2377,4.49,4.458620417829678,0.031379582170321996,0.6988771084704231
Melaza,%,6.0,-0.232,4.51,4.477101520174357,0.032898479825642646,0.7294563154244489
Melaza,%,6.0,-0.2262,4.54,4.496210066701141,0.04378993329885894,0.9645359757457916
Melaza,%,6.0,-0.2205,4.55,4.515291754822107,0.034708245177892394,0.7628185753382943
Melaza,%,6.0,-0.2147,4.58,4.535020772365132,0.044979227634867947,0.9820792060014836
Melaza,%,6.0,-0.2088,4.6,4.55541820291194,0.04458179708805954,0.9691695019143378
Melaza,%,6.0,-0.203,4.62,4.575797261489269,0.04420273851073109,0.9567692318340062
Melaza,%,6.0,-0.1971,4.63,4.596865364064026,0.033134635935973655,0.7156508841462993
Melaza,%,6.0,-0.1912,4.64,4.618278691880855,0.021721308119144744,0.46813164049880923
Melaza,%,6.0,-0.1852,4.67,4.640413766027587,0.029586233972413112,0.6335382006940709
Melaza,%,6.0,-0.1793,4.68,4.662537354463455,0.017462645536544308,0.37313345163556216
Melaza,%,6.0,-0.1733,4.69,4.685404041660958,0.004595958339042028,0.09799484731432893
Melaza,%,6.0,-0.1672,4.71,4.709037124428141,0.0009628755718589233,0.020443218086176714
Melaza,%,6.0,-0.1612,4.73,4.7326663532698845,-0.0026663532698840697,0.0563711050715448
Melaza,%,6.0,-0.1551,4.77,4.75708399647313,0.012916003526869169,0.2707757552802761
Melaza,%,6.0,-0.149,4.78,4.78190407824172,-0.0019040782417194535,0.039834272839319104
Melaza,%,6.0,-0.1428,4.79,4.8075480984984535,-0.017548098498453513,0.3663486116587372
Melaza,%,6.0,-0.1367,4.8,4.833193334541443,-0.03319333454144324,0.6915278029467342
Melaza,%,6.0,-0.1305,4.83,4.859685129794029,-0.029685129794028597,0.6145989605388943
Melaza,%,6.0,-0.1242,4.85,4.887048870024641,-0.03704887002464119,0.7638942273121895
Melaza,%,6.0,-0.118,4.88,4.91442032505815,-0.03442032505815007,0.7053345298801245
Melaza,%,6.0,-0.1117,4.91,4.942686909015932,-0.03268690901593185,0.665721161220608
Melaza,%,6.0,-0.1054,4.93,4.971415182406682,-0.041415182406682405,0.8400645518596838
Melaza,%,6.0,-0.099,4.95,5.001076663217002,-0.05107666321700144,1.031851782161645
Melaza,%,6.0,-0.0927,4.96,5.0307487275086125,-0.0707487275086125,1.4263856352542843
Melaza,%,6.0,-0.0862,4.98,5.061860120596854,-0.08186012059685321,1.643777522025165
Melaza,%,6.0,-0.0798,5.01,5.092990688726786,-0.08299068872678639,1.6565007729897483
Melaza,%,6.0,-0.0733,5.05,5.125117549334517,-0.07511754933451709,1.487476224445883
Melaza,%,6.0,-0.0668,5.09,5.157762454479467,-0.0677624544794675,1.331285942622151
Melaza,%,6.0,-0.0603,5.11,5.190929534223128,-0.08092953422312732,1.583748223544566
Melaza,%,6.0,-0.0537,5.13,5.225145300659646,-0.0951453006596461,1.8546842233849143
Melaza,%,6.0,-0.0471,5.18,5.25990767931747,-0.07990767931747023,1.5426192918430548
Melaza,%,6.0,-0.0405,5.23,5.295220656071678,-0.06522065607167793,1.2470488732634404
Melaza,%,6.0,-0.0338,5.24,5.331635833266276,-0.09163583326627567,1.7487754440128944
Melaza,%,6.0,-0.0271,5.28,5.368626341671491,-0.08862634167149075,1.6785291983236885
Melaza,%,6.0,-0.0204,5.31,5.4061959923646,-0.09619599236460008,1.8116006095028263
Melaza,%,6.0,-0.0136,5.34,5.444922348729059,-0.10492234872905915,1.964837991180883
Melaza,%,6.0,-0.0068,5.37,5.484252796941416,-0.11425279694141555,2.127612605985392
