Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH
(NH4)2 SO4,g/L,1.75,0.02105,8.56
(NH4)2 SO4,g/L,1.75,0.02153,8.57
(NH4)2 SO4,g/L,1.75,0.022,8.58
(NH4)2 SO4,g/L,1.75,0.02248,8.59
(NH4)2 SO4,g/L,1.75,0.02296,8.60
(NH4)2 SO4,g/L,1.75,0.02344,8.61
(NH4)2 SO4,g/L,1.75,0.02391,8.62
(NH4)2 SO4,g/L,1.75,0.02439,8.64
(NH4)2 SO4,g/L,1.75,0.02487,8.65
(NH4)2 SO4,g/L,1.75,0.02534,8.66
(NH4)2 SO4,g/L,1.75,0.02582,8.67
(NH4)2 SO4,g/L,1.75,0.02629,8.68
(NH4)2 SO4,g/L,1.75,0.02676,8.69
(NH4)2 SO4,g/L,1.75,0.02724,8.70
(NH4)2 SO4,g/L,1.75,0.02771,8.70
(NH4)2 SO4,g/L,1.75,0.02818,8.71
(NH4)2 SO4,g/L,1.75,0.02865,8.72
(NH4)2 SO4,g/L,1.75,0.02913,8.74
(NH4)2 SO4,g/L,1.75,0.0296,8.75
(NH4)2 SO4,g/L,1.75,0.03007,8.76
(NH4)2 SO4,g/L,1.75,0.03054,8.76
(NH4)2 SO4,g/L,1.75,0.03101,8.77
(NH4)2 SO4,g/L,1.75,0.03148,8.78
(NH4)2 SO4,g/L,1.75,0.03195,8.79
(NH4)2 SO4,g/L,1.75,0.03241,8.80
(NH4)2 SO4,g/L,1.75,0.03288,8.81
(NH4)2 SO4,g/L,1.75,0.03335,8.82
(NH4)2 SO4,g/L,1.75,0.03382,8.83
(NH4)2 SO4,g/L,1.75,0.03428,8.83
(NH4)2 SO4,g/L,1.75,0.03475,8.84
(NH4)2 SO4,g/L,1.75,0.03521,8.85
(NH4)2 SO4,g/L,1.75,0.03568,8.85
(NH4)2 SO4,g/L,1.75,0.03614,8.86
(NH4)2 SO4,g/L,1.75,0.03661,8.86
(NH4)2 SO4,g/L,1.75,0.03707,8.86
(NH4)2 SO4,g/L,1.75,0.03754,8.86
(NH4)2 SO4,g/L,1.75,0.038,8.86
(NH4)2 SO4,g/L,1.75,0.03846,8.86
(NH4)2 SO4,g/L,1.75,0.03892,8.88
(NH4)2 SO4,g/L,1.75,0.03939,8.90
(NH4)2 SO4,g/L,1.75,0.03985,8.92
(NH4)2 SO4,g/L,1.75,0.04031,8.94
(NH4)2 SO4,g/L,1.75,0.04077,8.95
(NH4)2 SO4,g/L,1.75,0.04123,8.95
(NH4)2 SO4,g/L,1.75,0.04169,8.97
(NH4)2 SO4,g/L,1.75,0.04215,8.97
(NH4)2 SO4,g/L,1.75,0.0426,8.98
(NH4)2 SO4,g/L,1.75,0.04306,8.98
(NH4)2 SO4,g/L,1.75,0.04352,8.98
(NH4)2 SO4,g/L,1.75,0.04398,8.99
(NH4)2 SO4,g/L,1.75,0.04443,9.00
(NH4)2 SO4,g/L,3.00,-0.00917,3.00
(NH4)2 SO4,g/L,3.00,-0.00867,3.02
(NH4)2 SO4,g/L,3.00,-0.00818,3.04
(NH4)2 SO4,g/L,3.00,-0.00769,3.07
(NH4)2 SO4,g/L,3.00,-0.0072,3.10
(NH4)2 SO4,g/L,3.00,-0.0067,3.13
(NH4)2 SO4,g/L,3.00,-0.00621,3.16
(NH4)2 SO4,g/L,3.00,-0.00572,3.17
(NH4)2 SO4,g/L,3.00,-0.00522,3.23
(NH4)2 SO4,g/L,3.00,-0.00473,3.27
(NH4)2 SO4,g/L,3.00,-0.00423,3.32
(NH4)2 SO4,g/L,3.00,-0.00374,3.37
(NH4)2 SO4,g/L,3.00,-0.00324,3.44
(NH4)2 SO4,g/L,3.00,-0.00274,3.50
(NH4)2 SO4,g/L,3.00,-0.00224,3.59
(NH4)2 SO4,g/L,3.00,-0.00175,3.70
(NH4)2 SO4,g/L,3.00,-0.00125,3.85
(NH4)2 SO4,g/L,3.00,-0.00075,4.08
(NH4)2 SO4,g/L,3.00,-0.00025,4.64
(NH4)2 SO4,g/L,3.00,0,5.39
(NH4)2 SO4,g/L,3.00,0.0005,6.10
(NH4)2 SO4,g/L,3.00,0.001,6.62
(NH4)2 SO4,g/L,3.00,0.0015,6.87
(NH4)2 SO4,g/L,3.00,0.002,7.03
(NH4)2 SO4,g/L,3.00,0.00249,7.14
(NH4)2 SO4,g/L,3.00,0.00299,7.22
(NH4)2 SO4,g/L,3.00,0.00349,7.31
(NH4)2 SO4,g/L,3.00,0.00398,7.38
(NH4)2 SO4,g/L,3.00,0.00448,7.43
(NH4)2 SO4,g/L,3.00,0.00498,7.48
(NH4)2 SO4,g/L,3.00,0.00547,7.53
(NH4)2 SO4,g/L,3.00,0.00596,7.56
(NH4)2 SO4,g/L,3.00,0.00646,7.60
(NH4)2 SO4,g/L,3.00,0.00695,7.64
(NH4)2 SO4,g/L,3.00,0.00744,7.67
(NH4)2 SO4,g/L,3.00,0.00794,7.70
(NH4)2 SO4,g/L,3.00,0.00843,7.73
(NH4)2 SO4,g/L,3.00,0.00892,7.75
(NH4)2 SO4,g/L,3.00,0.00941,7.78
(NH4)2 SO4,g/L,3.00,0.0099,7.80
(NH4)2 SO4,g/L,3.00,0.01039,7.83
(NH4)2 SO4,g/L,3.00,0.01088,7.85
(NH4)2 SO4,g/L,3.00,0.01137,7.87
(NH4)2 SO4,g/L,3.00,0.01186,7.89
(NH4)2 SO4,g/L,3.00,0.01235,7.91
(NH4)2 SO4,g/L,3.00,0.01283,7.93
(NH4)2 SO4,g/L,3.00,0.01332,7.94
(NH4)2 SO4,g/L,3.00,0.01381,7.97
(NH4)2 SO4,g/L,3.00,0.01429,7.95
(NH4)2 SO4,g/L,3.00,0.01478,8.08
(NH4)2 SO4,g/L,3.00,0.01526,7.98
(NH4)2 SO4,g/L,3.00,0.01575,8.00
(NH4)2 SO4,g/L,3.00,0.01623,8.02
(NH4)2 SO4,g/L,3.00,0.01672,8.04
(NH4)2 SO4,g/L,3.00,0.0172,8.06
(NH4)2 SO4,g/L,3.00,0.01768,8.09
(NH4)2 SO4,g/L,3.00,0.01816,8.10
(NH4)2 SO4,g/L,3.00,0.01865,8.12
(NH4)2 SO4,g/L,3.00,0.01913,8.15
(NH4)2 SO4,g/L,3.00,0.01961,8.17
(NH4)2 SO4,g/L,3.00,0.02009,8.20
(NH4)2 SO4,g/L,3.00,0.02057,8.23
(NH4)2 SO4,g/L,3.00,0.02105,8.26
(NH4)2 SO4,g/L,3.00,0.02153,8.29
(NH4)2 SO4,g/L,3.00,0.022,8.33
(NH4)2 SO4,g/L,3.00,0.02248,8.34
(NH4)2 SO4,g/L,3.00,0.02296,8.37
(NH4)2 SO4,g/L,3.00,0.02344,8.40
(NH4)2 SO4,g/L,3.00,0.02391,8.42
(NH4)2 SO4,g/L,3.00,0.02439,8.43
(NH4)2 SO4,g/L,3.00,0.02487,8.44
(NH4)2 SO4,g/L,3.00,0.02534,8.45
(NH4)2 SO4,g/L,3.00,0.02582,8.46
(NH4)2 SO4,g/L,3.00,0.02629,8.47
(NH4)2 SO4,g/L,3.00,0.02676,8.48
(NH4)2 SO4,g/L,3.00,0.02724,8.49
(NH4)2 SO4,g/L,3.00,0.02771,8.49
(NH4)2 SO4,g/L,3.00,0.02818,8.51
(NH4)2 SO4,g/L,3.00,0.02865,8.52
(NH4)2 SO4,g/L,3.00,0.02913,8.52
(NH4)2 SO4,g/L,3.00,0.0296,8.53
(NH4)2 SO4,g/L,3.00,0.03007,8.54
(NH4)2 SO4,g/L,3.00,0.03054,8.54
(NH4)2 SO4,g/L,3.00,0.03101,8.55
(NH4)2 SO4,g/L,3.00,0.03148,8.55
(NH4)2 SO4,g/L,3.00,0.03195,8.56
(NH4)2 SO4,g/L,3.00,0.03241,8.57
(NH4)2 SO4,g/L,3.00,0.03288,8.58
(NH4)2 SO4,g/L,3.00,0.03335,8.58
(NH4)2 SO4,g/L,3.00,0.03382,8.59
(NH4)2 SO4,g/L,3.00,0.03428,8.59
(NH4)2 SO4,g/L,3.00,0.03475,8.60
(NH4)2 SO4,g/L,3.00,0.03521,8.61
(NH4)2 SO4,g/L,3.00,0.03568,8.62
(NH4)2 SO4,g/L,3.00,0.03614,8.63
(NH4)2 SO4,g/L,3.00,0.03661,8.63
(NH4)2 SO4,g/L,3.00,0.03707,8.64
(NH4)2 SO4,g/L,3.00,0.03754,8.65
(NH4)2 SO4,g/L,3.00,0.038,8.66
(NH4)2 SO4,g/L,3.00,0.03846,8.66
(NH4)2 SO4,g/L,3.00,0.03892,8.67
(NH4)2 SO4,g/L,3.00,0.03939,8.68
(NH4)2 SO4,g/L,3.00,0.03985,8.69
(NH4)2 SO4,g/L,3.00,0.04031,8.70
(NH4)2 SO4,g/L,3.00,0.04077,8.70
(NH4)2 SO4,g/L,3.00,0.04123,8.71
(NH4)2 SO4,g/L,3.00,0.04169,8.71
(NH4)2 SO4,g/L,3.00,0.04215,8.71
(NH4)2 SO4,g/L,3.00,0.0426,8.71
(NH4)2 SO4,g/L,3.00,0.04306,8.71
(NH4)2 SO4,g/L,3.00,0.04352,8.71
(NH4)2 SO4,g/L,3.00,0.04398,8.71
(NH4)2 SO4,g/L,3.00,0.04443,8.71
(NH4)2 SO4,g/L,3.00,0.04489,8.71
(NH4)2 SO4,g/L,3.00,0.04535,8.71
(NH4)2 SO4,g/L,3.00,0.0458,8.73
(NH4)2 SO4,g/L,3.00,0.04626,8.74
(NH4)2 SO4,g/L,3.00,0.04671,8.76
(NH4)2 SO4,g/L,3.00,0.04717,8.78
(NH4)2 SO4,g/L,3.00,0.04762,8.80
(NH4)2 SO4,g/L,3.00,0.04807,8.81
(NH4)2 SO4,g/L,3.00,0.04853,8.81
(NH4)2 SO4,g/L,3.00,0.04898,8.82
(NH4)2 SO4,g/L,3.00,0.04943,8.82
(NH4)2 SO4,g/L,3.00,0.04988,8.82
(NH4)2 SO4,g/L,3.00,0.05033,8.83
(NH4)2 SO4,g/L,3.00,0.05078,8.83
(NH4)2 SO4,g/L,3.00,0.05123,8.84
(NH4)2 SO4,g/L,3.00,0.05168,8.85
(NH4)2 SO4,g/L,3.00,0.05213,8.86
(NH4)2 SO4,g/L,3.00,0.05258,8.86
(NH4)2 SO4,g/L,3.00,0.05303,8.86
(NH4)2 SO4,g/L,3.00,0.05348,8.86
(NH4)2 SO4,g/L,3.00,0.05393,8.86
(NH4)2 SO4,g/L,3.00,0.05437,8.86
(NH4)2 SO4,g/L,3.00,0.05482,8.86
(NH4)2 SO4,g/L,3.00,0.05527,8.86
(NH4)2 SO4,g/L,3.00,0.05571,8.86
(NH4)2 SO4,g/L,3.00,0.05616,8.86
(NH4)2 SO4,g/L,3.00,0.0566,8.86
(NH4)2 SO4,g/L,3.00,0.05705,8.87
(NH4)2 SO4,g/L,3.00,0.05749,8.89
(NH4)2 SO4,g/L,3.00,0.05794,8.90
(NH4)2 SO4,g/L,3.00,0.05838,8.92
(NH4)2 SO4,g/L,3.00,0.05882,8.93
(NH4)2 SO4,g/L,3.00,0.05927,8.94
(NH4)2 SO4,g/L,3.00,0.05971,8.94
(NH4)2 SO4,g/L,3.00,0.06015,8.94
(NH4)2 SO4,g/L,3.00,0.06059,8.94
(NH4)2 SO4,g/L,3.00,0.06103,8.94
(NH4)2 SO4,g/L,3.00,0.06147,8.95
(NH4)2 SO4,g/L,3.00,0.06191,8.95
(NH4)2 SO4,g/L,3.00,0.06235,8.95
(NH4)2 SO4,g/L,3.00,0.06279,8.95
(NH4)2 SO4,g/L,3.00,0.06323,8.96
(NH4)2 SO4,g/L,3.00,0.06367,8.96
(NH4)2 SO4,g/L,3.00,0.06411,8.96
(NH4)2 SO4,g/L,3.00,0.06455,8.97
(NH4)2 SO4,g/L,3.00,0.06498,8.97
(NH4)2 SO4,g/L,3.00,0.06542,8.97
(NH4)2 SO4,g/L,3.00,0.06586,8.97
(NH4)2 SO4,g/L,3.00,0.06629,8.98
(NH4)2 SO4,g/L,3.00,0.06673,8.98
(NH4)2 SO4,g/L,3.00,0.06716,8.98
(NH4)2 SO4,g/L,3.00,0.0676,8.98
(NH4)2 SO4,g/L,3.00,0.06803,8.99
(NH4)2 SO4,g/L,3.00,0.06847,8.99
(NH4)2 SO4,g/L,3.00,0.0689,8.99
(NH4)2 SO4,g/L,3.00,0.06933,8.99
(NH4)2 SO4,g/L,3.00,0.06977,8.99
(NH4)2 SO4,g/L,3.00,0.0702,9.00
