Conc_reactivo,Conc_titulante,pH_predicho
0.5,-0.0209,3.099943279257232
0.5454545454545454,-0.0209,3.0782802197403014
0.5909090909090909,-0.0209,3.0577968315053794
0.6363636363636364,-0.0209,3.0385052786878006
0.6818181818181819,-0.0209,3.02041591149667
0.7272727272727273,-0.0209,3.003537269384666
0.7727272727272727,-0.0209,2.987876089434908
0.8181818181818181,-0.0209,2.9734373198509645
0.8636363636363636,-0.0209,2.960224138414898
0.9090909090909092,-0.0209,2.9482379757581505
0.9545454545454546,-0.0209,2.9374785432711206
1.0,-0.0209,2.9279438654595196
1.0454545454545454,-0.0209,2.919630316539224
1.0909090909090908,-0.0209,2.9125326610464253
1.1363636363636362,-0.0209,2.9066440982262276
1.1818181818181819,-0.0209,2.90195630995104
1.2272727272727273,-0.0209,2.898459511909591
1.2727272727272727,-0.0209,2.8961425077986576
1.3181818181818183,-0.0209,2.894992746242483
1.3636363636363638,-0.0209,2.8949963801592298
1.4090909090909092,-0.0209,2.896138328290036
1.4545454545454546,-0.0209,2.8984023386038857
1.5,-0.0209,2.9017710532909153
1.5454545454545454,-0.0209,2.906226075057519
1.5909090909090908,-0.0209,2.911748034439159
1.6363636363636365,-0.0209,2.9183166578504918
1.6818181818181819,-0.0209,2.925910836097651
1.7272727272727273,-0.0209,2.9345086930841733
1.7727272727272727,-0.0209,2.944087654449644
1.8181818181818181,-0.0209,2.954624515889135
1.8636363636363638,-0.0209,2.9660955109114773
1.9090909090909092,-0.0209,2.978476377805207
1.9545454545454546,-0.0209,2.991742425592902
2.0,-0.0209,3.005868598766987
2.0454545454545454,-0.0209,3.0208295406133407
2.090909090909091,-0.0209,3.0365996549425893
2.1363636363636367,-0.0209,3.0531531660631237
2.1818181818181817,-0.0209,3.07046417684426
2.2272727272727275,-0.0209,3.088506724732574
2.2727272727272725,-0.0209,3.1072548355991163
2.3181818181818183,-0.0209,3.126682575310063
2.3636363636363638,-0.0209,3.1467640989278545
2.409090909090909,-0.0209,3.167473697464464
2.4545454545454546,-0.0209,3.188785842122599
2.5,-0.0209,3.2106752259745246
2.5454545454545454,-0.0209,3.2331168030416593
2.590909090909091,-0.0209,3.2560858247511364
2.6363636363636362,-0.0209,3.2795578737578746
2.6818181818181817,-0.0209,3.3035088951327105
2.7272727272727275,-0.0209,3.3279152249282484
2.772727272727273,-0.0209,3.352753616144813
2.8181818181818183,-0.0209,3.378001262128607
2.8636363636363638,-0.0209,3.4036358174434853
2.909090909090909,-0.0209,3.4296354162661173
2.9545454545454546,-0.0209,3.45597868836196
3.0,-0.0209,3.4826447727065366
3.0454545454545454,-0.0209,3.5096133288225984
3.090909090909091,-0.0209,3.5368645459093235
3.1363636363636362,-0.0209,3.564379149844415
3.181818181818182,-0.0209,3.592138408144077
3.2272727272727275,-0.0209,3.620124132969307
3.272727272727273,-0.0209,3.648318682269633
3.3181818181818183,-0.0209,3.6767049591576852
3.3636363636363638,-0.0209,3.7052664096095804
3.409090909090909,-0.0209,3.7339870185871664
3.4545454545454546,-0.0209,3.7628513046788514
3.5,-0.0209,3.7918443133556843
3.5454545454545454,-0.0209,3.8209516089394
3.590909090909091,-0.0209,3.850159265378183
3.6363636363636362,-0.0209,3.879453855925177
3.681818181818182,-0.0209,3.9088224418133914
3.7272727272727275,-0.0209,3.9382525600191967
3.772727272727273,-0.0209,3.9677322102048707
3.8181818181818183,-0.0209,3.99724984092877
3.8636363636363638,-0.0209,4.026794335209601
3.909090909090909,-0.0209,4.056354995529224
3.9545454545454546,-0.0209,4.085921528355957
4.0,-0.0209,4.115484028268254
4.045454545454545,-0.0209,4.145032961756039
4.090909090909091,-0.0209,4.174559150774756
4.136363636363637,-0.0209,4.204053756124603
